Abkhazia アブハジア
Afghanistan アフガニスタン
Aland オーランド諸島
Albania アルバニア
Algeria アルジェリア
American-Samoa アメリカ領サモア
Andorra アンドラ
Angola アンゴラ
Anguilla アンギラ
Antarctica 南極大陸
Antigua-and-Barbuda アンティグア・バーブーダ
Argentina アルゼンチン
Armenia アルメニア
Aruba アルバ
Australia オーストラリア
Austria オーストリア
Azerbaijan アゼルバイジャン
Bahamas バハマ
Bahrain バーレーン
Bangladesh バングラデシュ
Barbados バルバドス
Basque-Country バスク自治州
Belarus ベラルーシ
Belgium ベルギー
Belize ベリーズ
Benin ベナン
Bermuda バミューダ諸島
Bhutan ブータン
Bolivia ボリビア
Bosnia-and-Herzegovina ボスニア・ヘルツェゴビナ
Botswana ボツワナ
Brazil ブラジル
British-Antarctic-Territory イギリス領南極地域
British-Virgin-Islands イギリス領ヴァージン諸島
Brunei ブルネイ
Bulgaria ブルガリア
Burkina-Faso ブルキナファソ
Burundi ブルンジ
Cambodia カンボジア
Cameroon カメルーン
Canada カナダ
Canary-Islands カナリア諸島
Cape-Verde カーボベルデ
Cayman-Islands ケイマン諸島
Central-African-Republic 中央アフリカ共和国
Chad チャド
Chile チリ
China 中華人民共和国
Christmas-Island クリスマス島
Cocos-Keeling-Islands ココス諸島
Colombia コロンビア
Commonwealth 英連邦王国
Comoros コモロ
Cook-Islands クック諸島
Costa-Rica コスタリカ
Cote-dIvoire コートジボワール
Croatia クロアチア
Cuba キューバ
Curacao キュラソー島
Cyprus キプロス
Czech-Republic チェコ
Democratic-Republic-of-the-Congo コンゴ共和国
Denmark デンマーク
Djibouti ジブチ
Dominica ドミニカ国
Dominican-Republic ドミニカ共和国
East-Timor 東ティモール
Ecuador エクアドル
Egypt エジプト
El-Salvador エルサルバドル
England イギリス
Equatorial-Guinea 赤道ギニア
Eritrea エリトリア
Estonia エストニア
Ethiopia エチオピア
European-Union 欧州連合
Falkland-Islands フォークランド諸島
Faroes フェロー諸島
Fiji フィジー
Finland フィンランド
France フランス
French-Polynesia フランス領ポリネシア
French-Southern-Territories フランス領南方
Gabon ガボン
Gambia ガンビア
Georgia グルジア
Germany ドイツ
Ghana ガーナ
Gibraltar ジブラルタル
Greece ギリシャ
Greenland グリーンランド
Grenada グレナダ
Guam グアム
Guatemala グアテマラ
Guernsey ガーンジー
Guinea-Bissau ギニアビサウ
Guinea パプアニューギニア
Guyana ガイアナ共和国
Haiti ハイチ
Honduras ホンジュラス
Hong-Kong 香港
Hungary ハンガリー
Iceland アイスランド
India インド
Indonesia インドネシア
Iran イラン
Iraq イラク
Ireland アイルランド共和国
Isle-of-Man マン島
Israel イスラエル
Italy イタリア
Jamaica ジャマイカ
Japan 日本
Jersey ジャージー
Jordan ヨルダン
Kazakhstan カザフスタン
Kenya ケニア
Kiribati キリバス
Kosovo コソボ
Kuwait クウェート
Kyrgyzstan キルギス
Laos ラオス
Latvia ラトビア
Lebanon レバノン
Lesotho レソト
Liberia リベリア
Libya リビア
Liechtenstein リヒテンシュタイン
Lithuania リトアニア
Luxembourg ルクセンブルク
Macau マカオ
Macedonia マケドニア共和国
Madagascar マダガスカル
Malawi マラウイ
Malaysia マレーシア
Maldives モルディブ
Mali マリ共和国
Malta マルタ
Marshall-Islands マーシャル諸島
Martinique マルティニーク
Mauritania モーリタニア
Mauritius モーリシャス
Mayotte マヨット
Mexico メキシコ
Micronesia ミクロネシア連邦
Moldova モルドバ
Monaco モナコ
Mongolia モンゴル国
Montenegro セルビア・モンテネグロ
Montserrat モントセラト
Morocco モロッコ
Mozambique モザンビーク
Myanmar ミャンマー
Nagorno-Karabakh ナゴルノ・カラバフ
Namibia ナミビア
Nauru ナウル
Nepal ネパール
Netherlands-Antilles オランダ領アンティル
Netherlands オランダ
New-Caledonia ニューカレドニア
New-Zealanda ニュージーランド
Nicaragua ニカラグア
Niger ニジェール
Nigeria ナイジェリア
Niue ニウエ
Norfolk-Island ノーフォーク島
North-Korea 朝鮮民主主義人民共和国
Northern-Cyprus 北キプロス・トルコ共和国
Northern-Mariana-Islands 北マリアナ諸島
Norway ノルウェー
Oman オマーン
Pakistan パキスタン
Palau パラオ
Palestine パレスチナ
Panama パナマ
Papua-New-Guinea パプアニューギニア
Paraguay パラグアイ
Peru ペルー
Philippines フィリピン
Pitcairn-Islands ピトケアン諸島
Poland ポーランド
Portugal ポルトガル
Puerto-Rico プエルトリコ
Qatar カタール
Republic-of-the-Congo コンゴ民主共和国
Romania ルーマニア
Russia ロシア
Rwanda ルワンダ
Saint-Barthelemy サン・バルテルミー島
Saint-Helena セントヘレナ
Saint-Kitts-and-Nevis セントクリストファー・ネイビス
Saint-Lucia セントルシア
Saint-Martin セント・マーチン島
Saint-Vincent-and-the-Grenadines セントビンセント・グレナディーン
Samoa サモア
San-Marino サンマリノ
Sao-Tome-and-Principe サントメ・プリンシペ
Saudi-Arabia サウジアラビア
Scotland スコットランド
Senegal セネガル
Serbia セルビア
Seychelles セーシェル共和国
Sierra-Leone シエラレオネ
Singapore シンガポール
Slovakia スロバキア
Slovenia スロベニア
Solomon-Islands ソロモン諸島
Somalia ソマリア
Somaliland ソマリランド共和国
South-Africa 南アフリカ共和国
South-Korea 大韓民国
South-Ossetia 南オセチア
South-Sudan 南スーダン
Spain スペイン
Sri-Lanka スリランカ
Sudan スーダン
Suriname スリナム共和国
Swaziland スワジランド
Sweden スウェーデン
Switzerland スイス
Syria シリア
Taiwan 台湾
Tajikistan タジキスタン
Tanzania タンザニア
Thailand タイ王国
Togo トーゴ
Tokelau トケラウ
Tonga トンガ
Trinidad-and-Tobago トリニダード・トバゴ
Tunisia チュニジア
Turkey トルコ
Turkmenistan トルクメニスタン
Turks-and-Caicos-Islands タークス・カイコス諸島
Tuvalu ツバル
US-Virgin-Islands アメリカ領ヴァージン諸島
Uganda ウガンダ
Ukraine ウクライナ国
United-Arab-Emirates アラブ首長国連邦
United-Kingdom イギリス
United-States アメリカ
Uruguay ウルグアイ
Uzbekistan ウズベキスタン
Vanuatu バヌアツ
Vatican-City バチカン
Venezuela ベネズエラ
Vietnam ベトナム
Wales ウェールズ
Wallis-And-Futuna ウォリス・フツナ
Yemen イエメン
Zambia ザンビア
Zimbabwe ジンバブエ
